DPID2,CHAMBER_NAME
142969,RE-2_R3_CH06
142970,RE-2_R2_CH09
142970,RE-2_R2_CH05
142971,RE-2_R3_CH09
142971,RE-2_R3_CH05
142972,RE-1_R3_CH09
142972,RE-1_R3_CH07
142973,RE-1_R2_CH10
142973,RE-1_R3_CH34
142974,RE-1_R2_CH34
142974,RE-2_R3_CH08
142976,RE-1_R3_CH29
142976,RE-1_R3_CH35
142977,RE-1_R3_CH32
142977,RE-1_R3_CH30
142978,RE-1_R3_CH36
142978,RE-2_R3_CH03
142979,RE-2_R2_CH33
142979,RE-2_R2_CH29
142980,RE-2_R3_CH35
142980,RE-2_R3_CH29
142981,RE-2_R2_CH10
142981,RE-2_R2_CH36
142983,RE-2_R2_CH34
142983,RE-2_R2_CH30
142984,RE-2_R3_CH10
142984,RE-2_R3_CH32
142985,RE-2_R3_CH34
142985,RE-2_R3_CH31
142986,RE-2_R3_CH33
142986,RE-3_R3_CH10
142987,RE-3_R2_CH35
142987,RE-2_R3_CH30
142988,RE-3_R3_CH34
142988,RE-3_R2_CH29
142990,RE-2_R2_CH32
142990,RE-3_R2_CH07
142991,RE-2_R2_CH31
142991,RE-3_R2_CH01
142992,RE-3_R3_CH02
142992,RE-2_R2_CH35
142993,RE-3_R2_CH31
142993,RE-3_R3_CH35
142994,RE-3_R3_CH04
142994,RE-3_R3_CH03
142995,RE-3_R3_CH32
142995,RE-2_R3_CH36
142997,RE-3_R3_CH29
142997,RE-3_R3_CH30
142998,RE-3_R3_CH01
142998,RE-3_R2_CH10
142999,RE-3_R2_CH36
142999,RE-3_R3_CH09
143000,RE-3_R2_CH03
143000,RE-3_R2_CH33
143001,RE-3_R2_CH09
143001,RE-3_R3_CH06
143002,RE-3_R2_CH04
143002,RE-3_R2_CH08
143004,RE-3_R2_CH06
143004,RE-3_R2_CH32
143005,RE-3_R3_CH36
143005,RE-3_R3_CH07
143006,RE-3_R2_CH02
143006,RE-3_R2_CH05
143007,RE-3_R3_CH05
143007,RE-3_R3_CH08
143008,RE-3_R3_CH33
143008,RE-3_R2_CH34
143009,RE-3_R3_CH31
143009,RE-3_R2_CH30
143014,RE-1_R2_CH15
143014,RE-1_R2_CH17
143015,RE-1_R2_CH11
143015,RE-1_R2_CH13
